movieId,title,genres
194010,Barbie (2023),Adventure|Comedy|Fantasy
194011,Oppenheimer (2023),Biography|Drama|History
194012,Guardians of the Galaxy Vol. 3 (2023),Action|Adventure|Comedy
194013,John Wick: Chapter 4 (2023),Action|Crime|Thriller
194014,The Marvels (2023),Action|Adventure|Fantasy
194015,Dune: Part Two (2023),Action|Adventure|Drama
194016,Spider-Man: Across the Spider-Verse (2023),Animation|Action|Adventure
194017,The Super Mario Bros. Movie (2023),Animation|Adventure|Comedy
194018,Mission: Impossible - Dead Reckoning Part One (2023),Action|Adventure|Thriller
194019,Aquaman and the Lost Kingdom (2023),Action|Adventure|Fantasy
194020,The Flash (2023),Action|Adventure|Fantasy
194021,Wonka (2023),Adventure|Comedy|Drama
194022,The Hunger Games: The Ballad of Songbirds and Snakes (2023),Action|Adventure|Drama
194023,The Little Mermaid (2023),Adventure|Family|Fantasy
194024,Indiana Jones and the Dial of Destiny (2023),Action|Adventure
194025,The Equalizer 3 (2023),Action|Crime|Thriller
194026,Elemental (2023),Animation|Adventure|Comedy
194027,Wish (2023),Animation|Adventure|Comedy
194028,Killers of the Flower Moon (2023),Crime|Drama|History
194029,Napoleon (2023),Biography|Drama|History
194030,The Exorcist: Believer (2023),Drama|Horror|Thriller
194031,Transformers: Rise of the Beasts (2023),Action|Adventure|Sci-Fi
194032,Ant-Man and the Wasp: Quantumania (2023),Action|Adventure|Comedy
194033,Shazam! Fury of the Gods (2023),Action|Adventure|Comedy
194034,The Boogeyman (2023),Drama|Horror|Mystery
194035,Scream VI (2023),Horror|Mystery|Thriller
194036,Fast X (2023),Action|Adventure|Crime
194037,Evil Dead Rise (2023),Horror|Thriller
194038,The Meg 2: The Trench (2023),Action|Horror|Sci-Fi
194039,Asteroid City (2023),Comedy|Drama|Romance
194040,Gran Turismo (2023),Action|Drama|Sport
194041,The Covenant (2023),Action|Thriller|War
194042,Insidious: The Red Door (2023),Horror|Mystery|Thriller
194043,Saw X (2023),Horror|Mystery|Thriller
194044,The Nun II (2023),Horror|Mystery|Thriller
194045,The Creator (2023),Action|Drama|Sci-Fi
194046,Five Nights at Freddy's (2023),Horror|Mystery|Thriller
194047,Blue Beetle (2023),Action|Adventure|Sci-Fi
194048,A Haunting in Venice (2023),Crime|Drama|Mystery
194049,The Blackening (2023),Comedy|Horror|Thriller
194050,The Holdovers (2023),Comedy|Drama
194051,Next Goal Wins (2023),Comedy|Drama|Sport
194052,Beau Is Afraid (2023),Comedy|Drama|Horror
194053,You Hurt My Feelings (2023),Comedy|Drama
194054,The Pale Blue Eye (2023),Crime|Drama|Mystery
194055,Magic Mike's Last Dance (2023),Comedy|Drama
194056,Heart of Stone (2023),Action|Thriller
194057,Cocaine Bear (2023),Comedy|Thriller
194058,No Hard Feelings (2023),Comedy|Romance
194059,Strays (2023),Adventure|Animation|Comedy
194060,Joy Ride (2023),Comedy
194061,Love Again (2023),Comedy|Drama|Romance
194062,Plane (2023),Action|Thriller
194063,"3,000 Years of Longing (2023)",Drama|Fantasy|Romance
194064,Babylon (2023),Drama
194065,Women Talking (2023),Drama
194066,The Whale (2023),Drama
194067,Saltburn (2023),Drama|Thriller
194068,The Outwaters (2023),Horror|Mystery|Sci-Fi
194069,Aftersun (2023),Drama
194070,The Banshees of Inisherin (2023),Comedy|Drama
194071,Foe (2023),Drama|Mystery|Sci-Fi
194072,Till (2023),Biography|Drama|History
194073,Everything Everywhere All at Once (2023),Action|Adventure|Comedy
194074,Tetris (2023),Biography|Drama|History
194075,The Fabelmans (2023),Drama
194076,The Northman (2023),Action|Adventure|Drama
194077,Decision to Leave (2023),Crime|Drama|Romance
194078,Marcel the Shell with Shoes On (2023),Animation|Comedy|Drama
194079,She Said (2023),Biography|Drama|History
194080,Causeway (2023),Drama
194081,Emily the Criminal (2023),Crime|Drama|Thriller
194082,Moonage Daydream (2023),Documentary|Biography|Music
194083,Firestarter (2023),Drama|Horror|Sci-Fi
194084,Watcher (2023),Drama|Horror|Thriller
194085,"Hallelujah: Leonard Cohen, a Journey, a Song (2023)",Documentary|Biography|Music
194086,Hatching (2023),Drama|Fantasy|Horror
194087,Bones and All (2023),Drama|Horror|Romance
194088,No Bears (2023),Drama
194089,The Stranger (2023),Crime|Drama|Thriller
194090,Resurrection (2023),Drama|Horror|Mystery
194091,The Wonder (2023),Drama|Mystery|Thriller
194092,Pearl (2023),Drama|Horror|Thriller
194093,X (2023),Horror|Thriller
194094,Operation Fortune: Ruse de Guerre (2023),Action|Comedy|Thriller
194095,Shirley (2023),Biography|Drama|History
194096,Rustin (2023),Biography|Drama|History
194097,Poor Things (2023),Comedy|Drama|Sci-Fi
194098,The Hunger Games: The Ballad of Songbirds & Snakes (2023),Adventure|Drama|Sci-Fi
194099,The Burial (2023),Biography|Drama
194100,BlackBerry (2023),Biography|Drama|Comedy
194101,How to Blow Up a Pipeline (2023),Action|Drama|Thriller
194102,Past Lives (2023),Drama|Romance
194103,Flamin' Hot (2023),Biography|Comedy|Drama
194104,Paint (2023),Comedy|Drama
194105,A Man Called Otto (2023),Comedy|Drama
194106,Big George Foreman(2023),Biography|Drama|Sport
194107,Sanctuary (2023),Drama|Thriller
194108,Joyland (2023),Drama|Romance
194109,EO (2023),Drama|Adventure
