movieId,title,genres
193710,Tenet (2020),Action|Sci-Fi
193711,The Invisible Man (2020),Horror|Mystery|Sci-Fi
193712,Soul (2020),Animation|Adventure|Comedy
193713,Wonder Woman 1984 (2020),Action|Adventure|Fantasy
193714,The Trial of the Chicago 7 (2020),Drama|History
193715,The Gentlemen (2020),Action|Comedy|Crime
193716,Palm Springs (2020),Comedy|Fantasy|Romance
193717,Onward (2020),Animation|Adventure|Comedy
193718,The Croods: A New Age (2020),Animation|Adventure|Comedy
193719,Mulan (2020),Action|Adventure|Drama
193720,The King of Staten Island (2020),Comedy|Drama
193721,The Old Guard (2020),Action|Fantasy|Thriller
193722,Hamilton (2020),Biography|Drama|History
193723,Borat Subsequent Moviefilm (2020),Comedy|Drama
193724,The Call of the Wild (2020),Adventure|Drama|Family
193725,Emma. (2020),Comedy|Drama|Romance
193726,The Midnight Sky (2020),Drama|Fantasy|Sci-Fi
193727,Sonic the Hedgehog (2020),Action|Adventure|Comedy
193728,Raya and the Last Dragon (2020),Animation|Adventure|Action
193729,Over the Moon (2020),Animation|Adventure|Comedy
193730,The New Mutants (2020),Action|Horror|Sci-Fi
193731,Da 5 Bloods (2020),Adventure|Drama|War
193732,Enola Holmes (2020),Adventure|Crime|Drama
193733,Extraction (2020),Action|Thriller
193734,The Lovebirds (2020),Action|Comedy|Crime
193735,The Way Back (2020),Drama|Sport
193736,Bad Boys for Life (2020),Action|Comedy|Crime
193737,Bloodshot (2020),Action|Drama|Sci-Fi
193738,The SpongeBob Movie: Sponge on the Run (2020),Animation|Adventure|Comedy
193739,The Secret Garden (2020),Drama|Family|Fantasy
193740,Greyhound (2020),Action|Drama|War
193741,The Hunt (2020),Action|Horror|Thriller
193742,Fantasy Island (2020),Adventure|Horror|Mystery
193743,News of the World (2020),Action|Adventure|Drama
193744,Antebellum (2020),Drama|Horror|Mystery
193745,Let Him Go (2020),Crime|Drama|Thriller
193746,Minari (2020),Drama
193747,Another Round (2020),Comedy|Drama
193748,Sound of Metal (2020),Drama|Music
193749,Ma Rainey's Black Bottom (2020),Drama|Music
193750,Pieces of a Woman (2020),Drama
193751,Promising Young Woman (2020),Crime|Drama|Thriller
193752,The Father (2020),Drama
193753,Nomadland (2020),Drama
193754,Love and Monsters (2020),Adventure|Comedy|Sci-Fi
193755,The Witches (2020),Adventure|Comedy|Family
193756,Bill & Ted Face the Music (2020),Adventure|Comedy|Music
193757,Freaky (2020),Comedy|Horror|Thriller
193758,Honest Thief (2020),Action|Crime|Drama
193759,Fatman (2020),Action|Comedy|Crime
193760,Half Brothers (2020),Comedy|Drama
193761,Kajillionaire (2020),Comedy|Crime|Drama
193762,The High Note (2020),Comedy|Drama|Music
193763,Ammonite (2020),Biography|Drama|Romance
193764,The Croods: A New Age (2020),Animation|Adventure|Comedy
193765,The Outpost (2020),Drama|History|War
193766,Come Away (2020),Adventure|Drama|Fantasy
193767,Jingle Jangle: A Christmas Journey (2020),Adventure|Family|Fantasy
193768,The Christmas Chronicles 2 (2020),Adventure|Comedy|Family
193769,The Kissing Booth 2 (2020),Comedy|Romance
193770,To All the Boys: P.S. I Still Love You (2020),Comedy|Drama|Romance
193771,After We Collided (2020),Drama|Romance
193772,365 Days (2020),Drama|Romance
193773,Ava (2020),Action|Crime|Drama
193774,Run (2020),Drama|Horror|Mystery
193775,The Devil All the Time (2020),Crime|Drama|Thriller
193776,The One and Only Ivan (2020),Adventure|Comedy|Drama
193777,Unhinged (2020),Action|Thriller
193778,Greenland (2020),Action|Drama|Thriller
193779,The Stand-In (2020),Comedy|Drama|Romance
193780,The Craft: Legacy (2020),Drama|Fantasy|Horror
193781,Relic (2020),Drama|Horror|Mystery
193782,Host (2020),Horror|Mystery|Thriller
193783,The Rental (2020),Drama|Horror|Mystery
193784,The Wolf of Snow Hollow (2020),Comedy|Horror|Thriller
193785,She Dies Tomorrow (2020),Comedy|Drama|Horror
193786,Sputnik (2020),Drama|Horror|Sci-Fi
193787,Possessor (2020),Drama|Horror|Sci-Fi
193788,Becky (2020),Action|Crime|Drama
193789,Saint Maud (2020),Drama|Horror|Thriller
193790,Happiest Season (2020),Comedy|Drama|Romance
193791,Words on Bathroom Walls (2020),Drama|Romance
193792,Penguin Bloom (2020),Biography|Drama|Family
193793,Made in Italy (2020),Comedy|Drama
193794,Black Bear (2020),Drama|Mystery|Thriller
193795,The Trip to Greece (2020),Adventure|Comedy|Drama
193796,The Burnt Orange Heresy (2020),Drama|Mystery|Thriller
193797,The Nest (2020),Drama|Mystery|Romance
193798,Summerland (2020),Drama|Romance|War
193799,The Vast of Night (2020),Drama|Mystery|Sci-Fi
193800,Palm Springs (2020),Comedy|Fantasy|Romance
193801,The Half of It (2020),Comedy|Drama|Romance
193802,The Personal History of David Copperfield (2020),Comedy|Drama
193803,The Secret: Dare to Dream (2020),Drama|Romance
193804,Archive (2020),Drama|Sci-Fi|Thriller
193805,Proxima (2020),Drama|Sci-Fi
193806,Shirley (2020),Biography|Drama|Mystery
193807,The Man Who Sold His Skin (2020),Drama
193808,Spree (2020),Comedy|Thriller
193809,Sorry We Missed You (2020),Drama
